"","eucalypts","bark"
"325","Eucalyptus pulverulenta","smooth throughout or with some short thin persistent ribbons at base of old trunks; smooth bark green to grey with brown, coppery or yellow patches; branchlets glaucous."
"326","Eucalyptus pumila","smooth, grey to pink, yellow-green, brown, cream or white, shedding from stems in ribbons."
"327","Eucalyptus punctata","smooth throughout, becoming granular with age, predominantly grey with pink, brown, cream, yellow and orange, shedding in patches."
"328","Eucalyptus punctata subsp. punctata",NA
"329","Eucalyptus pyrocarpa","rough to larger limbs, fibrous, grey or brown; smooth bark grey to white, crown sometimes ribbony; branchlets glaucous and square in cross-section."
"330","Eucalyptus quadrangulata","rough to small branches, box-type, grey or whitish."
"331","Eucalyptus quinniorum",NA
"332","Eucalyptus racemosa","smooth, rarely powdery, silvery white, cream, pale grey, orange-yellow, with scribbles."
"333","Eucalyptus racemosa","smooth, rarely powdery, silvery white, cream, pale grey, orange-yellow, with scribbles."
"334","Eucalyptus radiata","rough on trunk and large limbs, smaller branches smooth; rough bark finely fibrous, peppermint-type, grey; smooth bark pale grey to grey-green."
"335","Eucalyptus radiata subsp. radiata",NA
"336","Eucalyptus radiata subsp. sejuncta",NA
"337","Eucalyptus ralla",NA
"338","Eucalyptus recurva","smooth, grey, green, brown, white, cream and orange, at times with ribbons of decorticated bark in the branches."
"339","Eucalyptus resinifera","rough to small branches, stringy or fibrous, grey or grey-brown to red-brown, held in long, flat strips with shallow fissures in between."
"340","Eucalyptus resinifera subsp. hemilampra",NA
"341","Eucalyptus resinifera subsp. resinifera",NA
"342","Eucalyptus resinifera subsp. resinifera",NA
"343","Eucalyptus retinens","rough on trunk and larger limbs, box-type, grey, smooth bark grey to green, pink or coppery."
"344","Eucalyptus robertsonii",NA
"345","Eucalyptus robertsonii",NA
"346","Eucalyptus robertsonii subsp. hemisphaerica",NA
"347","Eucalyptus robertsonii subsp. robertsonii",NA
"348","Eucalyptus robusta","rough to small branches, thick, fibrous, spongy, reddish-brown to grey-brown."
"349","Eucalyptus robusta x saligna",NA
"350","Eucalyptus rossii",NA
"351","Eucalyptus rossii",NA
"352","Eucalyptus rubida","smooth throughout or with some patches of persistent rough, greyish bark at the base; smooth bark often powdery, white, cream, pale grey or pink, with horizontal black scars, usually with ribbons of decorticated bark in the upper branches; branchlets glaucous or non-glaucous."
"353","Eucalyptus rubida subsp. barbigerorum",NA
"354","Eucalyptus rubida subsp. rubida",NA
"355","Eucalyptus rubida x viminalis",NA
"356","Eucalyptus rudderi","rough to small branches, box-type, often tessellated, grey to pale grey."
"357","Eucalyptus rummeryi","rough to small branches, box-type, usually tessellated, grey to black."
"358","Eucalyptus saligna","rough and flaky, grey to grey-brown on basal 1-4 m of trunk, smooth above, bluish grey to cream, green, pink or brown."
"359","Eucalyptus saxatilis","smooth, slightly powdery, pale grey to creamy white and pale coppery, pink or greenish, shedding in ribbons."
"360","Eucalyptus saxicola",NA
"361","Eucalyptus scias","rough throughout, fibrous, grey or brown, held in long strips or slabs with shallow furrows."
"362","Eucalyptus scias","rough throughout, fibrous, grey or brown, held in long strips or slabs with shallow furrows."
"363","Eucalyptus scias subsp. apoda",NA
"364","Eucalyptus scias subsp. callimastha",NA
"365","Eucalyptus scias subsp. scias",NA
"366","Eucalyptus sclerophylla",NA
"367","Eucalyptus scoparia","smooth, powdery, white and grey, shedding in strips."
"368","Eucalyptus seeana","smooth, sometimes becoming granular with age, mottled grey, white, pink or orange."
"369","Eucalyptus serpentinicola",NA
"370","Eucalyptus siderophloia",NA
"371","Eucalyptus sideroxylon",NA
"372","Eucalyptus sideroxylon",NA
"373","Eucalyptus sideroxylon <--> viridis",NA
"374","Eucalyptus sieberi","rough on trunk and base of large branches, at first thin, flaky and orange-brown, becoming compact, thick, longitudinally furrowed and dark grey to black as trees age; smooth bark sometimes powdery, white to cream or yellow; branchlets sometimes glaucous."
"375","Eucalyptus signata",NA
"376","Eucalyptus smithii","of trees rough, compact and black on trunk, smooth above, sometimes powdery, white, cream, or green-brown, very ribbony; mallees usually smooth throughout."
"377","Eucalyptus socialis","usually persistent on lower trunks, grey to brown, loose flaky, shaggy, ribbony; smooth bark on upper trunks and branches grey over cream, rarely yellowy-green."
"378","Eucalyptus sp. aff. agglomerata",NA
"379","Eucalyptus sp. aff. cameronii (Macleay-Apsley)",NA
"380","Eucalyptus sp. aff. dwyeri",NA
"381","Eucalyptus sp. aff. fibrosa (Pokolbin)",NA
"382","Eucalyptus sp. aff. fibrosa (Yarrawa)",NA
"383","Eucalyptus sp. aff. macrorhyncha",NA
"384","Eucalyptus sp. Cattai",NA
"385","Eucalyptus sparsifolia",NA
"386","Eucalyptus spectatrix",NA
"387","Eucalyptus spp.",NA
"388","Eucalyptus squamosa","rough throughout, tessellated, grey and red-brown."
"389","Eucalyptus stellulata","rough on lower trunk, compact and dark grey to black; smooth bark greenish, at times with ribbons of decorticated bark in the upper branches."
"390","Eucalyptus stenostoma","rough on lower trunk, compacted, shallowly fissured, grey; smooth bark yellow or creamy white; branchlets glaucous."
"391","Eucalyptus stricta","smooth, mottled pale grey, brown, white and pink, often with scribbles, at times with ribbons of decorticated bark in the upper branches."
"392","Eucalyptus sturgissiana","smooth, mottled light grey, grey-brown, pink and green, branchlets often glaucous."
"393","Eucalyptus subcaerulea",NA
"394","Eucalyptus subcaerulea",NA
"395","Eucalyptus subtilior",NA
"396","Eucalyptus subtilior",NA
"397","Eucalyptus tenella","rough to small branches, stringy, furrowed, grey to grey-brown."
"398","Eucalyptus tereticornis","smooth throughout, mottled white, cream, yellow, pink and grey; sometimes with persistent dark grey flakes of rough bark on base of large trunks."
"399","Eucalyptus tereticornis subsp. tereticornis",NA
"400","Eucalyptus tetrapleura",NA
"401","Eucalyptus tindaliae","rough on trunk and branches to about 6 cm diameter, stringy with shallow longitudinal fissures, grey and grey-brown."
"402","Eucalyptus tricarpa",NA
"403","Eucalyptus triflora","smooth throughout or, for the largest trees, with some compact, dark grey, rough bark at the base of the trunk; smooth bark white to cream or yellow-grey, with scribbles, the stems and crowns ribbony."
"404","Eucalyptus triplex",NA
"405","Eucalyptus umbra","rough to small branches, stringy or fibrous, grey or grey-brown."
"406","Eucalyptus umbra","rough to small branches, stringy or fibrous, grey or grey-brown."
"407","Eucalyptus vicina","usually smooth throughout, often powdery, mottled grey, brown, coppery, pink, orange and white."
"408","Eucalyptus viminalis","smooth over whole trunk or with a thick stocking of rough bark consistently to 2-6 m above base, fibrous, grey, brown or black; smooth bark often powdery, white to cream, yellow, light grey or pale brown, usually with conspicuous long ribbons of decorticated bark on upper trunk and in crown."
"409","Eucalyptus viminalis","smooth over whole trunk or with a thick stocking of rough bark consistently to 2-6 m above base, fibrous, grey, brown or black; smooth bark often powdery, white to cream, yellow, light grey or pale brown, usually with conspicuous long ribbons of decorticated bark on upper trunk and in crown."
"410","Eucalyptus viminalis subsp. luxurians",NA
"411","Eucalyptus viridis","rough, dark grey and box-type on lower stems, smooth above, grey-brown and coppery to bronze-grey and pink-grey, or smooth throughout. "
"412","Eucalyptus volcanica","on trunk partly rough to fully rough, often extending to larger branches, grey, box type; smooth bark grey to green, occasionally pink to brown."
"413","Eucalyptus wilcoxii","smooth throughout, pinkish brown to green, shedding in ribbons."
"414","Eucalyptus williamsiana","rough throughout, coarsely stringy, grey to grey-brown and deeply furrowed."
"415","Eucalyptus x kirtoniana",NA
"416","Eucalyptus x kirtoniana",NA
"417","Eucalyptus x kirtoniana",NA
"418","Eucalyptus x vitrea",NA
"419","Eucalyptus youmanii","rough to small branches, coarsely stringy and deeply, longitudinally furrowed, grey to grey-brown."
