"","eucalypts","bark"
"214","Eucalyptus glaucescens","rough, fibrous, grey or grey-brown, on lower trunk of trees, shedding in ribbons above; smooth bark of upper trunks, and of mallees, white, orange, brown, green, grey, yellow or pink; horizontal black scars often present on trunk; branchlets usually glaucous."
"215","Eucalyptus glaucina","smooth, white and grey with patches of pink, orange or green; sometimes becoming granular or powdery with age."
"216","Eucalyptus globoidea","rough to small branches, stringy, furrowed down trunk, usually grey."
"217","Eucalyptus globulus","smooth apart from base which has persistent slabs, shedding in large strips and slabs; smooth bark white, cream, grey, pink, yellowish or pale creamy orange, often with ribbons of decorticated bark in the upper branches; branchlets occasionally glaucous."
"218","Eucalyptus glomericassis","smooth throughout, new bark pale pink to pale orange, maturing to white and then grey."
"219","Eucalyptus glomerosa","rough for basal 0.5-3 m of stems, matted and fibrous to thick, loose and flaky, yellow-brown weathering grey, smooth above coppery-orange to salmon pink."
"220","Eucalyptus gomphocephala","rough throughout, finely fibrous, flaky and grey, becoming tessellated on large, old stems."
"221","Eucalyptus gongylocarpa","usually smooth throughout, white to pale grey; sometimes with yellow-brown to red-brown flaky scaly rough bark. "
"222","Eucalyptus goniantha","b'grey to brown, smooth throughout."
"223","Eucalyptus goniocalyx","rough over all of trunk, sometimesextending to small branches, or the large branches smooth; rough bark fibrous or box-type, grey, grey-brown, smooth bark white, cream or grey. "
"224","Eucalyptus goniocarpa","smooth throughout, grey and pale tan to coppery."
"225","Eucalyptus gracilis","usually rough on lower stems (rarely smooth throughout), tessellated box-type, flaky or fibrous, grey or brown; smooth bark white, pink, brown or grey, sometimes powdery. "
"226","Eucalyptus grandis","rough, flaky, greyish on basal 1-4 m of trunk, smooth above, powdery, pale grey or white."
"227","Eucalyptus gregoriensis","smooth and powdery throughout, new bark pale pink, maturing to white. branchlets usually not glaucous, but occasionally glaucous."
"228","Eucalyptus gregsoniana","smooth, light grey to white with patches of yellow, pink or pale brown."
"229","Eucalyptus grisea","smooth throughout, becoming granular with age, predominantly grey to whitish to brown, mottled with cream, yellow or orange, shedding in patches."
"230","Eucalyptus grossa","rough over whole trunks or only on the base of smaller stems, fibrous, slightly fissured, grey to grey-brown."
"231","Eucalyptus guilfoylei","rough to small branches, fibrous, fissured, grey-brown."
"232","Eucalyptus gunnii","smooth throughout or with some imperfectly decorticated rough bark on basal 1 m of trunk; smooth bark mottled white, yellow, pink, brown, green or grey, branchlets often conspicuously glaucous."
"233","Eucalyptus gypsophila","rough for lower half of trunk, grey to brown, loose and flaky, smooth above light grey over pinkish grey to coppery cream."
"234","Eucalyptus haemastoma","smooth, white, grey, yellow or silvery grey, with prominent scribbles."
"235","Eucalyptus hallii","smooth, new bark pale orange to pale pink, maturing to white and grey, becoming granular with age,."
"236","Eucalyptus halophila","rough on base of or up to half of stems, pale grey, fibrous or shedding in thick strips, or smooth throughout, white and pale grey to greenish-grey. "
"237","Eucalyptus hebetifolia","rough with loose grey ribbons for about half of trunk, smooth above grey and greeny brown over yellow."
"238","Eucalyptus helidonica","rough over trunk and branches to 2-3 cm diameter then smooth, rough bark finely fibrous and prickly to touch, grey or grey-brown."
"239","Eucalyptus herbertiana","smooth and powdery throughout, new bark creamy-yellow, maturing to white. branchlets usually not glaucous, but occasionally slightly glaucous."
"240","Eucalyptus histophylla","smooth throughout but with conspicuous ribbons of shed bark, light grey, dark grey and pale pinkish brown."
"241","Eucalyptus horistes","rough over part or all of trunk, firmly fibrous at base then semi-persistent ribbons above, scruffy, grey-brown, or smooth throughout, grey-green, and grey-brown."
"242","Eucalyptus houseana","smooth throughout; newly exposed bark not powdery, pale pink to pale orange or buttery yellow, maturing to white or grey and powdery to touch."
"243","Eucalyptus howittiana","rough to branches ca 2 cm diameter, shortly fibrous and flaky box-type, often fissured, becoming tessellated on some older trunks, grey."
"244","Eucalyptus hypolaena","rough on the lower 2-3 m of trunk, dark grey to almost black, hard scaly-fibrous, flaky; smooth bark, white to grey to pale pink to pale orange; sometimes slightly powdery. "
"245","Eucalyptus hypostomatica","rough on trunk and larger branches, box-type, flaky, grey, branches 8 cm diameter usually smooth, grey."
"246","Eucalyptus ignorabilis","on trunk and branches rough, firm, fibrous, with interlocking fissures, spongy, grey or brown, smaller branches shedding in ribbons."
"247","Eucalyptus imitans","rough to 5 cm diameter branches, stringy, pale grey to grey-brown."
"248","Eucalyptus imlayensis","smooth throughout or with some thin persistent strips at the base of largest stems; smooth bark predominantly green, with orange, brown or grey patches, shedding in ribbons from the stems and branches."
"249","Eucalyptus impensa","smooth throughout, grey and brown to coppery."
"250","Eucalyptus incerata","smooth throughout, light grey-brown over orange."
"251","Eucalyptus incrassata","smooth throughout or with persistent rough grey to brown ribbons on base of stems, sometimes extending for 1-2 m; smooth bark salmon pink to grey-brown or pale grey, sometimes with a few ribbons on the upper branches."
"252","Eucalyptus indurata","rough on half to all of trunk, hard, compacted, furrowed shallowly (almost like ironbark), or rarely fibrous, blackish-grey to grey, smooth above whitish and grey. "
"253","Eucalyptus infera","smooth throughout, shiny, grey to coppery to olive-green."
"254","Eucalyptus insularis","smooth throughout on smaller plants, greenish grey to pale grey and pale bronze, some basal fibrous grey-brown bark on largest stems."
"255","Eucalyptus interstans","smooth, mottled grey, white, pink or orange."
"256","Eucalyptus intertexta","rough on lower trunk, rarely over whole trunk, thick, fibrous, often box-type, grey to red-brown; smooth above, predominantly white with grey or brown patches shedding in flakes; branchlets"
"257","Eucalyptus jacksonii","rough to small branches, stringy, thick, somewhat brittle, grey over red-brown. "
"258","Eucalyptus jensenii","rough, coarse, hard, black, furrowed, i.e. typical ironbark, extending to branches ca 3 cm diameter."
"259","Eucalyptus johnsoniana","rough, flaky to fibrous, grey-brown to yellow-brown, for up to 0.5 m of stems, or smooth throughout, greyish brown. "
"260","Eucalyptus johnstonii","smooth throughout or with some persistent, fibrous, grey bark on base of trunk; smooth bark yellow to orange-brown or greenish."
"261","Eucalyptus jucunda","smooth, grey or grey-brown to creamy-brown, occasionally with grey, crumbly, fibrous, flaky, ribbony bark persisting on the lower trunk. branchlets"
"262","Eucalyptus jutsonii","rough to branches ca 3 cm diameter, coarsely fissured and stringy-fibrous, grey. "
"263","Eucalyptus kabiana","normally smooth throughout, white to light grey to pink; sometimes with short stocking of grey fibrous rough bark on the larger plants."
"264","Eucalyptus kartzoffiana","rough on part or most of trunk, fibrous or box-type, grey or grey-brown; smooth bark white, cream, brown, grey or green, occasionally with with horizontal black scars, commonly with long ribbons of decorticated bark in the crown; branchlets often glaucous."
"265","Eucalyptus kenneallyi","smooth throughout, white to grey to brown or pink."
"266","Eucalyptus kessellii","rough, very hard and grey-brown to blackish over lower part of trunk, or smooth throughout on smaller mallees, smooth bark grey-brown and pale brown to pink-orange. "
"267","Eucalyptus kingsmillii","rough, grey and shaggy or flaky on part or all of trunk, sometimes smooth throughout with red-brown and whitish grey to grey-brown bark. "
"268","Eucalyptus kitsoniana","smooth throughout or with some persistent basal slabs of rough brown bark; smooth bark pale coppery to yellow-green or pink-brown or creamy white, at times with ribbons of decorticated bark in the upper branches."
"269","Eucalyptus kochii","usually rough over most of the stems and normally extending to the larger branches, flaky fibrous, sometimes fissured, usually firmly held, light grey, smooth bark above grey over red-brown."
"270","Eucalyptus kondininensis","rough, black or grey-black, coarsely flaky and fissured to hard and compact for about half of trunk, branches smooth, grey cream and orange."
"271","Eucalyptus kruseana","rough, thin, firmly held on base of trunks, fibrous, dark grey, smooth above bronze to coppery and dark grey, shedding in ribbons along the branches, rarely smooth throughout."
"272","Eucalyptus kybeanensis","smooth, white to cream, coppery, brown, green-grey or yellow-green, or pink-grey, often with scribbles, often with ribbons of decorticated bark in the upper branches."
"273","Eucalyptus lacrimans","smooth mainly white with patches of cream, grey or orange; branchlets glaucous."
"274","Eucalyptus laeliae","smooth white becoming yellow in spring, powdery."
"275","Eucalyptus laevis","rough over part or all of trunk, thin, shaggy and scaly or flat with shallow fissures, blackish and orange-brown, smooth above, grey to pale grey and orange to salmon-pink."
"276","Eucalyptus laevopinea","rough on trunk and larger limbs, stringy, thick, grey, or grey-brown; branches smooth, whitish-grey."
"277","Eucalyptus lanepoolei","smooth throughout but often appearing scaly with partly shed plates or flakes of red-brown bark over white to pinkish yellow or pale orange. "
"278","Eucalyptus langleyi","smooth throughout or with a few persistent strips at base of stems; smooth bark shedding in ribbons, grey, pinkish grey and yellow to brown."
"279","Eucalyptus lansdowneana","rough and grey, flaky or fibrous for up to 2 m of stems, or smooth throughout and coppery to grey or greenish grey or creamy brown, shedding in short strips."
"280","Eucalyptus largeana","rough on trunk and often larger branches, box-type often tessellated, grey; smooth bark white or grey."
"281","Eucalyptus largiflorens","rough to small branches, box-type often tessellated, dark grey. "
"282","Eucalyptus latens","smooth throughout, white to grey and coppery."
"283","Eucalyptus lateritica","usually rough over half of trunk, held in flattish strips or somewhat corky, grey-brown, while on smaller plants bark may be smooth, grey. "
"284","Eucalyptus latisinensis","rough to small branches, soft and finely fibrous to stringy, grey or grey-brown."
"285","Eucalyptus leprophloia","rough, fibrous, loose, grey-brown, for ca 1 m of trunks, becoming curly and flaky then smooth whitish grey to pale orange or pinkish grey."
"286","Eucalyptus leptophylla","smooth, grey, white, light pinkish grey or salmon, sometimes becoming granular with age, shedding in long strips. "
"287","Eucalyptus leptopoda","smooth throughout, mottled red-brown to salmon pink and white, sometimes powdery, rarely rough and flaky to fibrous, grey, on base of larger trunks. "
"288","Eucalyptus lesouefii","rough, black and crumbly to coarsely flaky on lower trunk, smooth above, coppery orange to creamy grey."
"289","Eucalyptus leucophloia","smooth and powdery throughout, new bark pale pink to pale orange, maturing to white and then weathering in patches to dark pink or grey. branchlets sometimes glaucous."
"290","Eucalyptus leucoxylon","smooth throughout, or with some incompletely shed rough, fibrous to flaky, grey to yellowish brown bark on lower stems; smooth bark yellowish with blue-grey and cream patches; horizontal bark scars sometimes present; branchlets not glaucous."
"291","Eucalyptus ligulata","smooth, pale whitish grey to greenish grey over pink-brown. branchlets "
"292","Eucalyptus ligustrina","rough to ca 2-3 cm branches, stringy, grey or grey-brown."
"293","Eucalyptus litoralis","rough but thin and more or less looseon part or all of trunk, fibrous, grey-brown; branches smooth pale grey to creamy."
"294","Eucalyptus litorea","rough, hard, grey, fissured, over most or all of trunks, smooth grey above."
"295","Eucalyptus livida","smooth throughout, pale grey, dark grey and orange."
"296","Eucalyptus lockyeri","usually rough to the base of the branches, sometimes rough only on the lower trunk, fibrous to flaky, dark grey. Smooth bark grey to pink-brown to orange-brown."
"297","Eucalyptus longicornis","usually rough over most of the stem, occasionally rough on the lower stem only, hard fibrous, fissured grey to grey-brown, larger branches usually smooth-barked, white to grey, rarely pink-grey to green-grey."
"298","Eucalyptus longifolia","rough, fibrous, thin, box-type, irregularly cracked to tessellated or flaky, grey, persisting to smaller branches or branches 8 cm diameter smooth."
"299","Eucalyptus longirostrata","smooth throughout, becoming granular with age and predominantly dull grey to grey-brown, shedding irregularly in strips to expose cream to pale orange to coppery new bark."
"300","Eucalyptus longissima","usually rough over most of the lower stem, hard, fibrous, flaky, grey to brown; occasionally completely smooth-barked, smooth bark grey over coppery-brown, rarely white and slightly powdery."
"301","Eucalyptus loxophleba","rough over most or all of trunk, tight, thin and fibrous or of thick loose flakes, grey to blackish or dark brown, branches smooth throughout, shiny, grey and olive green to brown, salmon or bronze."
"302","Eucalyptus lucasii","smooth throughout or rough only at base of trunk, flaky or ribbony and persistent, grey-brown, smooth bark dark to pale grey and pinkish brown to white. "
"303","Eucalyptus lucens","wholly smooth or with a very short basal stocking of pale grey box-type bark. Smooth bark pale grey-white fading to pale brown, shedding in short strips."
"304","Eucalyptus luculenta","smooth throughout, grey to white to pink. "
"305","Eucalyptus luehmanniana","smooth, shedding in strips, white to yellowish or brown, grey or olive."
"306","Eucalyptus macarthurii","rough, fissured longitudinally, fibrous, often hard, grey, continuing to smaller branches or the branches 8 cm diameter smooth, ribbons sometimes conspicuous in the crown."
"307","Eucalyptus mackintii","rough to small branches, stringy, grey to red-brown."
"308","Eucalyptus macrandra","usually smooth throughout, grey over grey-brown. pinkor salmon, rarely with a basal stocking of rough blackish bark."
"309","Eucalyptus macrocarpa","smooth throughout, shiny yellowish brown and grey-brown, shedding in short ribbons."
"310","Eucalyptus macrorhyncha","rough to small branches, stringy, often deeply furrowed, grey or grey-brown or red-brown."
"311","Eucalyptus magnificata","rough on trunk and larger branches, shortly fibrous or box-type, thin and flaky, grey and grey-brown smooth bark coppery, brown, grey-green, or grey. branchlets are rarely glaucous."
"312","Eucalyptus major","smooth, becoming granular with age, mottled grey, cream, pink, orange, shedding in strips."
"313","Eucalyptus malacoxylon","rough on trunk and branches to ca 5-8 cm diameter, tessellated or box-type, thick, grey."
"314","Eucalyptus mannensis","usually rough for up to 4 m of trunk, sometimes extending to ca 8 cm diameter branches, grey-brown, flaky and fibrous, smooth above, grey to white or pale orange. "
"315","Eucalyptus mannifera","smooth throughout or with some persistent rough, grey slabs at base of trunk; smooth bark usually powdery, white and grey; branchlets sometimes glaucous."
"316","Eucalyptus marginata","rough to 5-10 cm diameter branches, stringy in broad flat strips, grey to brown over rich red-brown."
"317","Eucalyptus mckieana","rough to small branches, stringy, deeply fissured, grey or grey-brown."
"318","Eucalyptus mcquoidii","smooth throughout, pale grey and whitish."
"319","Eucalyptus medialis","rough, loose, flaky, grey over yellowish on basal part of trunk, otherwise smooth, dark and light grey over pale orange to bronze."
"320","Eucalyptus mediocris","rough throughout, grey or grey-brown to yellowish grey or orange-brown-grey, fibrous, sometimes prickly to touch, held on trunk in flattish strips rather than like typical stringybark."
"321","Eucalyptus megacarpa","smooth, cream to cream-brown and bronze-grey. "
"322","Eucalyptus megacornuta","smooth throughout, mottled dark grey, light greeny grey and orange."
"323","Eucalyptus megasepala","rough to the small branches, grey over grey-brown, finely stringy or fibrous, sometimes quite hard, forming longitudinal furrows. "
"324","Eucalyptus melanophitra","rough, flaky and grey over all or part of trunk, smooth above grey to pale grey over salmon pink."
"325","Eucalyptus melliodora","fibrous or thin flakes held in variable amounts on trunk, sometime entire trunk rough, yellow-brown to yellow-grey; smooth bark pale grey to yellow; branchlets usually non-glaucous."
"326","Eucalyptus merrickiae","rough and flaky, light grey-brown or grey-yellow, for part or all of trunks and base of larger branches, smooth above light grey."
"327","Eucalyptus michaeliana","smooth, mottled grey to blue-grey and white, cream, yellow, or pink."
"328","Eucalyptus micranthera","smooth throughout, shedding in ribbons, light grey to pinkish grey and yellow-grey. "
"329","Eucalyptus microcarpa","rough over whole trunk and to base of larger branches, box-type or tessellated, grey, grey- brown or mottled with grey and whitish patches; smooth bark usually white; pith of branchlets sometimes glandular."
"330","Eucalyptus microcorys","rough to small branches, softly stringy or fibrous, brown-grey to red-brown."
"331","Eucalyptus microneura","rough throughout, box-type, finely fissured, grey."
"332","Eucalyptus microschema","smooth throughout, dark and silvery grey over pink."
"333","Eucalyptus microtheca","rough, whitish grey to dark grey, box-type, often deeply fissured, coarsely flaky or becoming tessellated, the branches commonly rough-barked though this feature is variable."
"334","Eucalyptus mimica","smooth throughout, shiny pale grey-green over coppery brown."
"335","Eucalyptus misella","usually wholly smooth, grey, grey-brown, rusty brown and greenish grey, ribbons sometimes present, rarely with a persistent fibrous thin grey-brown basal stocking for ca 0.5 m of trunks on older plants."
"336","Eucalyptus mitchelliana","smooth white to yellow and creamy-grey; crown ribbony at times."
"337","Eucalyptus moderata","rough over most of the trunk, hard fibrous, sometimes extending to the larger branches, dark grey to black; smooth bark on upper trunk and larger branches, white to grey to creamy brown to pale pink. "
"338","Eucalyptus moluccana","rough on part or all of trunk, thin, box-type or tessellated, grey or mottled with grey and white patches; smooth bark white, cream or pale-grey, often shiny; pith of branchlets sometimes glandular."
"339","Eucalyptus mooreana","smooth and powdery throughout, new bark pale pink, maturing to white or grey. branchlets glaucous."
"340","Eucalyptus moorei","smooth, grey-brown to pale coppery with patches of orange and yellow."
"341","Eucalyptus morrisbyi","loose grey-black basal slabs for 1-2 m of trunk then smooth, pale grey, yellowish and pale coppery above; branchlets glaucous."
"342","Eucalyptus morrisii","of trees often rough to smaller branches, in mallees often only at base of stems; rough bark usually compacted, or fibrous or box-type, dark grey; smooth bark grey to green-grey, sometimes with a few ribbons in crown."
"343","Eucalyptus muelleriana","rough to small branches, stringy, grey-brown to grey-yellow."
"344","Eucalyptus multicaulis","smooth throughout or with 0.5 m of persistent rough bark at the base of stems; smooth bark grey or white; branchlets not glaucous."
"345","Eucalyptus myriadena","rough and coarsely flaky, grey-brown to grey-black usually for only about half of trunks then smooth above, bronze-grey and coppery."
"346","Eucalyptus nandewarica","smooth throughout or with persistent rough, fibrous bark on base of trunk for ca 1 m; smooth bark mottled white, grey, brown, cream or orange."
"347","Eucalyptus nebulosa","smooth, seasonally powdery, creamy white to yellowish and greeny bronze, shedding in short ribbons."
"348","Eucalyptus neglecta","rough, fibrous, fissured longitudinally and grey to brown on trunk of larger plants, otherwise smooth, grey-green to yellow-brown, crown at times ribbony; branchlets glaucous or non-glaucous; new growth tips quite glaucous."
"349","Eucalyptus neutra","smooth throughout, grey over cream to brown to salmon-pink to coppery (rarely yellow). "
"350","Eucalyptus newbeyi","smooth throughout, mottled yellow-brown and grey to creamy yellow, shedding in flakes."
"351","Eucalyptus nicholii","rough to small branches, thick, fibrous, grey or grey-brown, longitudinally furrowed."
"352","Eucalyptus nigrifunda","rough on base of trunk, rarely more, black and flaky, smooth above red-brown over grey to cream or orange."
"353","Eucalyptus nitens","smooth throughout or with a thin stocking of rough grey bark for basal 1 m of trunk; smooth bark predominantly pale grey to greenish-grey but with patches of white, cream or pale brown with horizontal black scars sometimes present; crown often ribbony."
"354","Eucalyptus nitida","rough on trunk and limbs of larger trees, and on base of stems in small trees and mallees, loosely woven peppermint-type, grey, trunks of small trees or mallees sometimes entirely smooth-barked; smooth bark cream to grey-green, yellow-grey or pink-brown, scribbles present; crowns often with long ribbons of bark incompletely shed from branches."
"355","Eucalyptus nobilis","smooth, shedding in long ribbons, white and pale grey; sometimes with persistent slabs of rough grey bark at base of trunk. "
"356","Eucalyptus normantonensis","rough and flaky, grey-brown, box-type, extending over part or all of stems, smooth above dark brown to grey-brown."
"357","Eucalyptus nortonii","rough to small branches, coarse and thick, fibrous or box-type, mottled grey and whitish or grey-brown; sometimes branches 8 cm diameter smooth; branchlets glaucous."
"358","Eucalyptus notabilis","rough to small branches, fibrous, brown-grey, fissured longitudinally forming broad flat strips."
"359","Eucalyptus notactites","smooth throughout, pale grey to grey-brown over pink-orange."
"360","Eucalyptus nova-anglica","rough throughout or branches 8 cm diameter smooth; rough bark thick, fibrous, longitudinally furrowed, grey and red-brown."
"361","Eucalyptus nudicaulis","smooth throughout, mottled grey to pinkish or silvery. "
"362","Eucalyptus nutans","smooth throughout, shiny, grey over pink-orange and coppery."
"363","Eucalyptus obconica","b'.rough to small branches, box-type or sometimes tessellated, light grey-brown to grey-white."
"364","Eucalyptus obesa","smooth throughout shedding in ribbons, grey over whitish to pale brown or pink."
"365","Eucalyptus obliqua","rough to small branches or sometimes branches 8 cm diameter smooth; rough bark stringy or fibrous, brown to grey-brown, longitudinally furrowed; smooth bark green or grey."
"366","Eucalyptus obtusiflora","rough, imperfectly shed grey to brown, ribbony for up to half of the stems thensmooth above, or smooth-barked throughout, grey over yellowish or salmon pink to creamy brown."
"367","Eucalyptus occidentalis","rough over part or all of trunk, sometimes extending to large limbs, black to dark grey, fibrous, fissured and often hard, shedding in broad scruffy strips at its upper limit, smooth above, white to pale grey or pale grey-brown, sometimes powdery."
"368","Eucalyptus ochrophloia","rough and tessellated, scaly, or box-type on lower trunk, dark grey to black with abrupt change to smooth bark, which is grey to coppery, pink, white, yellow or brown."
"369","Eucalyptus odontocarpa","usually smooth throughout, grey to brown to coppery, sometimes white to cream to pink, occasionally with a short stocking of pale grey to yellowy-brown rough flaky bark. Branchlets normally non-glaucous, rarely glaucous, with no oil glands in the pith."
"370","Eucalyptus odorata","rough on trunk and on branches to 5-10 cm diameter, tightly held box-type on larger stems, dark grey or grey-brown, smooth bark on branches grey, coppery or brown; branchlets with or without pith oil glands. "
"371","Eucalyptus oldfieldii","rough with semi-persistent broad grey-brown to black ribbons loosely sheathing part or all of trunk extending sometimes to limbs ca 5 cm diameter, or stems smooth throughout, grey and brown mottled. "
"372","Eucalyptus oleosa","usually rough on lower stems, flaky or fibrous, usually loose, grey to grey-brown, at times with short ribbons of decorticated bark in the upper branches; occasionally smooth barked to ground level, cream, grey-yellow, pink, brown or coppery."
"373","Eucalyptus olida","rough, thick, flaky and fibrous to branches 5-8 cm diameter, orange-brown or grey."
"374","Eucalyptus olivina","smooth throughout, grey to whitish over brown-grey, shedding in short strips."
"375","Eucalyptus olsenii","rough only on lower trunk, fibrous or flaky, grey or grey-brown; smooth bark white, cream or grey, often with ribbons of decorticated bark in the upper branches."
"376","Eucalyptus opimiflora","smooth throughout, creamy brown,grey and pale silver grey. "
"377","Eucalyptus optima","smooth throughout, white to grey to pale pink to pale orange to pale salmon."
"378","Eucalyptus oraria","rough only on lower trunk, flaky, grey, or smooth throughout grey-green over yellowish, shedding in strips."
"379","Eucalyptus orbifolia","of large stems sometimes rough, grey, thick and flaky at the base, otherwise minnirichi on trunk and branches, reddish brown. "
"380","Eucalyptus ordiana","smooth throughout, powdery white, weathering in patches to purple."
"381","Eucalyptus oreades","rough for up to 4 m at base of trunk, loose and grey; smooth bark powdery, cream, white, grey or yellow-brown, usually with ribbons of decorticated bark in the upper branches. Branchlets"
"382","Eucalyptus orgadophila","rough on the lower trunk, box-type, grey with abrupt change to smooth bark, which is normally white to grey, rarely creamy brown, sometimes shiny."
"383","Eucalyptus ornata","smooth throughout, mottled silvery grey and pale pink-grey. "
"384","Eucalyptus orthostemon","smooth throughout, shedding in short strips, coppery and grey-green to silvery grey."
"385","Eucalyptus ovata","smooth throughout or with loose, rough, grey to grey-brown bark to variable height on trunk; smooth bark white, cream, pale grey or pink-brown, occasionally powdery."
"386","Eucalyptus pachycalyx","smooth throughout, mottled white, cream, pale grey with newly exposed bark yellow to creamy pink to bright orange; often powdery."
"387","Eucalyptus pachyloma","smooth, grey to grey-brown and greenish."
"388","Eucalyptus pachyphylla","smooth pale brown, shedding in strips to reveal silvery to pale grey-white new bark."
"389","Eucalyptus paliformis","smooth throughout, grey to green or white with newly exposed bark yellow."
"390","Eucalyptus paludicola","smooth throughout or with some persistent, loose fibrous dark brown bark on lower stem; smooth bark pale brown, cream pink or grey, sometimes becoming granular with age."
"391","Eucalyptus pantoleuca","smooth and powdery throughout, new bark pale pink to pale orange, maturing to white. branchlets very glaucous and 4-angled."
"392","Eucalyptus parramattensis","smooth becoming granular with age, mottled grey, brown, yellow or pink."
"393","Eucalyptus parvula","smooth throughout or with some persistent rough, grey bark on lower trunk; smooth bark predominantly dark grey, at times with ribbons of decorticated bark in the upper branches."
"394","Eucalyptus patens","rough to small branches, stringy, crumbly, corky, fissured deeply longitudinally, grey-brown. "
"395","Eucalyptus pauciflora","smooth, predominantly white, cream and grey, with yellow patches, usually with scribbles; branchlets glaucous or non-glaucous."
"396","Eucalyptus pellita","rough throughout, fibrous, flaky grey or reddish-brown, sometimes tessellated or platy and held in long strips or slabs."
"397","Eucalyptus pendens","smooth, grey and pinkish. "
"398","Eucalyptus peninsularis","smooth throughout, grey or grey-brown over creamy-brown to pale coppery to pale orange, decorticating in ribbons which occasionally hang in the upper branches."
"399","Eucalyptus percostata","smooth, white, grey or coppery."
"400","Eucalyptus perriniana","smooth throughout, or rough only at base of trunks of largest individuals; smooth bark light coppery to greenish or white, shedding in ribbons; branchlets usually glaucous with leaf ring scars."
"401","Eucalyptus persistens","rough to small branches, box-type, grey. "
"402","Eucalyptus petiolaris","partly or wholly rough on trunk, sometimes extending to base of larger limbs, grey-brown to yellow-brown persistent flakes, smooth above pale grey, dark grey and yellowish cream. "
"403","Eucalyptus petraea","rough, thin, ribbony to flaky to fibrous and fissured over 1-2 m of trunk, bark on upper trunk and branches smooth, pink-grey, whitish grey and dark grey (rarely smooth bark throughout). "
"404","Eucalyptus petrensis","smooth throughout or on larger plants rough only at the base with some persistent ribbons, smooth bark pale grey and pale brown. "
"405","Eucalyptus phaenophylla","smooth throughout, grey to brown and orange-pink."
"406","Eucalyptus phenax","usually smooth, cream to grey and coppery, at times with ribbons of decorticated bark in the upper branches."
"407","Eucalyptus pilbarensis","smooth throughout, white and pale grey to pink or coppery."
"408","Eucalyptus pileata","wholly smooth, light grey to grey brown or greenish grey over orange to yellow; shedding in long ribbons conspicuous in springtime."
"409","Eucalyptus pilularis","rough on lower half of trunk, finely fibrous, grey or grey-brown; smooth bark not powdery or granular, smooth bark cream to white or grey, often with scribbles."
"410","Eucalyptus pimpiniana","smooth throughout, sometimes powdery, mottled salmon, pink, white, pale grey and brown."
"411","Eucalyptus piperita","rough on trunk and larger limbs, sometimes also on smaller branches, finely fibrous or peppermint-type, grey or grey-brown; branches usually smooth, white to cream or grey, often powdery."
"412","Eucalyptus planchoniana","rough to small branches or the branches 8 cm diameter smooth; rough bark stringy and shallowly fissured down trunk, usually red-brown, often prickly. "
"413","Eucalyptus platyphylla","smooth and sometimes powdery, new bark pale pink to creamy-white to greenish-white, maturing to white and weathering to grey or reddish brown just before decortication."
"414","Eucalyptus platypus","smooth throughout, grey-green over coppery brown."
"415","Eucalyptus pleurocarpa","smooth throughout, grey to grey-brown. "
"416","Eucalyptus polyanthemos","rough on trunk and branches, box-type, grey, brown-grey or mottled with grey and white patches; branchlets glaucous or non-glaucous."
"417","Eucalyptus polybractea","rough, box-type and pale grey to grey-brown on lower 1-2 m of stems; smooth light grey to dark grey, brown or pinkish, at times with ribbons of decorticated bark in the upper branches; smaller regenerating plants that are at flowering stage may be entirely smooth-barked; branchlets usually glaucous or rarelynon-glaucous."
"418","Eucalyptus populnea","rough to small branches, box-type or tessellated, grey to grey-brown."
"419","Eucalyptus porosa","rough on the short trunk and larger branches of trees, and on lower stems of mallees, box-type, dark grey to dark brown-grey or whitish grey; smooth bark whitish or grey; branchlets with or without oil glands in the pith. "
"420","Eucalyptus prava","smooth, becoming granular with age, mottled grey, orange, brown and pink; branchlets glaucous or non-glaucous."
"421","Eucalyptus preissiana","smooth, pale grey and brown. "
"422","Eucalyptus prominens","sometimes fibrous at the base to 0.5 m, more usuallywholly smooth and grey to pinkish-grey to greenish-brown. "
"423","Eucalyptus prominula","rough to small branches, stringy, greyand grey-brown."
"424","Eucalyptus propinqua","smooth, becoming granular with age, mottled grey, cream, pink, orange, coppery or yellow, shedding in strips."
"425","Eucalyptus protensa","smooth, of \'oily\' appearance, dark grey to light brownish grey over yellowish green or bronze.Pith glands present in branchlets"
"426","Eucalyptus provecta","rough, grey, box-type, extending to the small branches."
"427","Eucalyptus proxima","smooth throughout, grey over pale orange or coppery."
"428","Eucalyptus pruiniramis","rough for lower half of trunk, fibrous or persistent ribbons, dark grey to grey-brown or blackish, or completely smooth on smaller mallees."
"429","Eucalyptus pruinosa","rough, grey, box-type extending to the small branches, flaky or firm and fissured, sometimes with wavy pattern, sometimes becoming tessellated on older trunks."
"430","Eucalyptus psammitica","rough, stringy or fibrous, loose, prickly, not furrowed, grey or grey-brown."
"431","Eucalyptus pterocarpa","smooth throughout, pale and mid-grey to mottled brown and pinkish white, shedding in long ribbons."
"432","Eucalyptus pulchella","smooth throughout on smaller trees but on larger trees rough, fibrous, grey to grey-brown for ca 1-2 m of trunk; smooth bark white, cream, yellow, pink and grey, decorticating in ribbons."
"433","Eucalyptus pulverulenta","smooth throughout or with some short thin persistent ribbons at base of old trunks; smooth bark green to grey with brown, coppery or yellow patches; branchlets glaucous."
"434","Eucalyptus pumila","smooth, grey to pink, yellow-green, brown, cream or white, shedding from stems in ribbons."
